/meka/addressee-meka/scatter/Viewing_Person0_Meka/	gaze/addressee	/meka/dialogact/dialogActInformer/	/meka/eval/mouth/dialogact/	meka-addressee	/videorecorder/open/	mouth/addressee	start_time	/videorecorder/start/	/videorecorder/stop/	robot-speaking	/meka/addressee-meka/scatter/Person0_Mouth/	filename	/meka/eval/gaze/dialogact/	trial	annotation_modifier	/meka/eval/all/dialogact/	/meka/addressee-meka/scatter/Addressee/	date	/videorecorder/close/	/meka/rejected/dialogact/dialogActInformer/
Yes		#<DIALOG-ACT {1010EEF303}>	dataRequest	y			47397				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	dataRequest	1	shiftedAnnotationsExplicit	dataRequest	Meka	2016-02-26_13-11-47		
Yes							51433				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101132C203}>
Yes							52376				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011330A83}>
Yes		#<DIALOG-ACT {1010EF4113}>	ok				54416				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
No	n			n		n	56014			y	Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOn	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011335353}>
Yes		#<DIALOG-ACT {1010EFDAA3}>	timeRequest	y			57774				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	timeRequest	1	shiftedAnnotationsExplicit	timeRequest	Meka	2016-02-26_13-11-47		
No							59584				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101133A103}>
No							59962				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101133EBA3}>
No							61656				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011343383}>
No			confirmation				63732				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011347983}>
No							66226				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101134C203}>
Yes		#<DIALOG-ACT {1010F02753}>	packetRequest	y			70472				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	packetRequest	1	shiftedAnnotationsExplicit	packetRequest	Meka	2016-02-26_13-11-47		
Yes	y			n		n	72696			y	Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	packetRequest	1	shiftedAnnotationsExplicit	packetRequest	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011350D93}>
Yes							74640				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011355B63}>
Yes							84467				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101135A3F3}>
Yes	y	#<DIALOG-ACT {1010F074E3}>	experimentsRequest	y			88073				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	experimentsRequest	1	shiftedAnnotationsExplicit	experimentsRequest	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F0C2C3}>	negation				90414				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Meka	2016-02-26_13-11-47		
Yes	y			n		n	93606			y	Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOff	1	shiftedAnnotationsExplicit	lightOff	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101135EF43}>
Yes							94678				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101136BC83}>
No							96514				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011370563}>
Yes							97525				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011375023}>
Yes		#<DIALOG-ACT {1010F110B3}>	confirmation				111376				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F158C3}>	ok				120825				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F1A583}>	ok				124796				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F23CD3}>	timeRequest	y		y	128573				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	timeRequest	1	shiftedAnnotationsExplicit	timeRequest	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F28983}>	negation				130297				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Meka	2016-02-26_13-11-47		
Yes							132104				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113798B3}>
Yes		#<DIALOG-ACT {1010F2D1E3}>	confirmation				138534				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes	y			y			141063				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	dataRequest	1	shiftedAnnotationsExplicit	dataRequest	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101137DF03}>
No				y-falsche person		n	147241				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOn	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113831A3}>
Yes				y-falsche person		n	148093				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011387ED3}>
Yes		#<DIALOG-ACT {1010F31CD3}>	confirmation				150832				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes							156792				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101138C743}>
No							164131				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113912B3}>
Yes							171138				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011395AE3}>
Yes		#<DIALOG-ACT {1010F36793}>	ok				173382				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes							174076				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101139A103}>
Yes		#<DIALOG-ACT {1010F3B353}>	lightOn	y			180528				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
No							182476				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101139E953}>
No							184957				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113A2F43}>
No							186533				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113A7543}>
No			negation				187555				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113ABDB3}>
Yes	y	#<DIALOG-ACT {1010F40043}>	lightOn	y			194464				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
Yes	y	#<DIALOG-ACT {1010F44D03}>	ok	y			195122				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F49753}>	ok				196723				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
No							200473				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113B0683}>
Yes		#<DIALOG-ACT {1010F4DCB3}>	ok				201546				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes	y	#<DIALOG-ACT {1010F52293}>	experimentsRequest	y			211394				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	experimentsRequest	1	shiftedAnnotationsExplicit	experimentsRequest	Meka	2016-02-26_13-11-47		
No							213552				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113B4F33}>
No			ok				216222				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011421A13}>
No							217816				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011426733}>
Yes							219690				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101142B183}>
No							220678				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101142FC43}>
No							221491				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114344F3}>
No							224544				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011438DB3}>
No							225640				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101143D633}>
No							226627				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011441EB3}>
No			negation				229577				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011446743}>
No							232044				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114533B3}>
No			ok				233822				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011457C23}>
Yes		#<DIALOG-ACT {1010F57093}>	confirmation				234731				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F5B963}>	confirmation				237105				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F60173}>	confirmation				238272				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F64973}>	confirmation				242160				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes	y	#<DIALOG-ACT {1010F691B3}>	lightOn	y			248000				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
No			lightOn	n - falsche person		n	253734			y	Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOn	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101145C493}>
No			ok				256864				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114611F3}>
Yes	y	#<DIALOG-ACT {1010F6DE93}>	lightOn	y			258452				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F72B53}>	ok				261523				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F775D3}>	gardenRequest	y			262728				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	gardenRequest	1	shiftedAnnotationsExplicit	gardenRequest	Meka	2016-02-26_13-11-47		
Yes							264091				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011465F23}>
Yes		#<DIALOG-ACT {1010F7C273}>	confirmation				265550				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
No			confirmation				268050				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101146A7B3}>
No	n			n			278350				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOn	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101146F063}>
No			lightOn	y			280981				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOn	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011474013}>
Yes		#<DIALOG-ACT {1010F80B93}>	lightOn	y			285143				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F85A93}>	ok	y			286062				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F8A093}>	ok				288825				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes							291033				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011478D93}>
No			lightOff	y			295449				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOff	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101147D643}>
Yes							308560				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114825D3}>
Yes				y - falsche person			310346				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	callRequest	1	shiftedAnnotationsExplicit	callRequest	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011486E43}>
Yes		#<DIALOG-ACT {1010F8E5F3}>	ok				311883				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F92B83}>	ok				312966				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010F975F3}>	callRequest	y			317272				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	callRequest	1	shiftedAnnotationsExplicit	callRequest	Meka	2016-02-26_13-11-47		
Yes							319643				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101148B9E3}>
Yes							320652				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011490293}>
Yes		#<DIALOG-ACT {1010F9C133}>	confirmation				329721				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
No							330831				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011494B43}>
Yes		#<DIALOG-ACT {1010FA0983}>	ok				331631				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FA9BD3}>	timeRequest	 y			333006				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	timeRequest	1	shiftedAnnotationsExplicit	timeRequest	Meka	2016-02-26_13-11-47		
Yes							334731				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114994B3}>
No			negation				340068				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101149DD23}>
Yes	y	#<DIALOG-ACT {1010FAE893}>	packetRequest	y			347035				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	packetRequest	1	shiftedAnnotationsExplicit	packetRequest	Meka	2016-02-26_13-11-47		
No	y			n		n	349231			y	Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	packetRequest	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114A2613}>
No							360808				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114A73F3}>
Yes		#<DIALOG-ACT {1010FB3643}>	confirmation				366048				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
No			ok				366609				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114ABF13}>
Yes		#<DIALOG-ACT {1010FB7E63}>	callRequest	y			369819				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	callRequest	1	shiftedAnnotationsExplicit	callRequest	Meka	2016-02-26_13-11-47		
No							372173				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114B0523}>
No							373208				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114B4DD3}>
Yes		#<DIALOG-ACT {1010FC1663}>	timeRequest	 y			375463				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	timeRequest	1	shiftedAnnotationsExplicit	timeRequest	Meka	2016-02-26_13-11-47		
No	y		lightOff	n		n	377520			y	Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOff	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114B96B3}>
Yes	y	#<DIALOG-ACT {1010FC6303}>	lightOn	y			380490				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOn	1	shiftedAnnotationsExplicit	lightOn	Meka	2016-02-26_13-11-47		
Yes	y	#<DIALOG-ACT {1010FCB0F3}>	ok	y			381199				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
No	n			n		n	386038			y	Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	lightOff	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114BE403}>
No							390270				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	negation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114C3183}>
No							391314				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114C7A43}>
Yes		#<DIALOG-ACT {1010FCF673}>	ok				397073				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FD3E33}>	ok				397575				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FD83D3}>	lightOff	y			399357				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	lightOff	1	shiftedAnnotationsExplicit	lightOff	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FDD073}>	ok	y			400051				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FE15F3}>	ok				400490				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FE5B73}>	negation				407820				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Meka	2016-02-26_13-11-47		
No			ok				408370				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114CC293}>
Yes		#<DIALOG-ACT {1010FEA3B3}>	ok				410999				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Meka	2016-02-26_13-11-47		
No			ok				411708				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114D0863}>
Yes		#<DIALOG-ACT {1010FEEB93}>	confirmation				413110				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes		#<DIALOG-ACT {1010FF35A3}>	confirmation				418331				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes	y	#<DIALOG-ACT {1010FF7DE3}>	gardenRequest	y			421239				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	gardenRequest	1	shiftedAnnotationsExplicit	gardenRequest	Meka	2016-02-26_13-11-47		
No			ok				422550				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114D4E53}>
No			confirmation				425008				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10114D96B3}>
