1472	task	00:00:56	COMPLETED	0	2019-10-17 2028
1473	gputask	00:00:42	COMPLETED	0	2019-10-17 2039
1474	task	00:00:47	COMPLETED	0	2019-10-17 2029
1475	gputask	00:00:46	COMPLETED	0	2019-10-17 2040
1476	task	00:00:36	COMPLETED	0	2019-10-17 2030
1477	gputask	00:00:47	COMPLETED	0	2019-10-17 2041
1478	task	00:00:57	COMPLETED	0	2019-10-17 2031
1479	gputask	00:00:38	COMPLETED	0	2019-10-17 2042
147	task	00:07:50	CANCELLED	0	2019-09-11 1414
1480	task	00:00:38	COMPLETED	0	2019-10-17 2032
1481	gputask	00:00:46	COMPLETED	0	2019-10-17 2043
1482	task	00:00:43	COMPLETED	0	2019-10-17 2033
1483	gputask	00:00:46	COMPLETED	0	2019-10-17 2044
148	gputask	00:07:50	CANCELLED	0	2019-09-11 1414
149	task	00:07:49	CANCELLED	0	2019-09-11 1414
150	gputask	00:05:17	COMPLETED	0	2019-09-11 1411
151	task	00:07:46	CANCELLED	0	2019-09-11 1414
152	gputask	00:07:46	CANCELLED	0	2019-09-11 1414
153	task	00:07:46	CANCELLED	0	2019-09-11 1414
154	gputask	00:07:46	CANCELLED	0	2019-09-11 1414
155	task	00:07:46	CANCELLED	0	2019-09-11 1414
156	gputask	00:02:32	CANCELLED	0	2019-09-11 1414
1574	task	00:00:00	CANCELLED	0	2019-10-18 0916
1575	task	00:00:00	CANCELLED	0	2019-10-18 0955
1576	gputask	00:01:10	COMPLETED	0	2019-10-18 0931
1577	task	00:00:00	CANCELLED	0	2019-10-18 0955
1578	gputask	00:23:36	COMPLETED	0	2019-10-18 0954
1579	task	00:00:00	CANCELLED	0	2019-10-18 1343
157	task	00:00:00	CANCELLED	0	2019-09-11 1414
1580	gputask	00:03:49	CANCELLED	0	2019-10-18 1343
1581	task	00:00:00	CANCELLED	0	2019-10-18 1343
1582	gputask	00:03:49	CANCELLED	0	2019-10-18 1343
1583	task	00:00:00	CANCELLED	0	2019-10-18 1343
1584	gputask	00:00:00	CANCELLED	0	2019-10-18 1343
1585	task	00:00:00	CANCELLED	0	2019-10-18 1343
1586	gputask	00:00:00	CANCELLED	0	2019-10-18 1343
1587	task	00:00:00	CANCELLED	0	2019-10-18 1343
1588	gputask	00:00:00	CANCELLED	0	2019-10-18 1343
1589	task	00:00:00	CANCELLED	0	2019-10-18 1343
158	gputask	00:00:00	CANCELLED	0	2019-09-11 1414
1590	gputask	00:00:00	CANCELLED	0	2019-10-18 1343
1591	task	1-01:21:38	COMPLETED	0	2019-10-19 1539
1592	gputask	02:18:00	COMPLETED	0	2019-10-18 1618
1593	task	23:21:15	COMPLETED	0	2019-10-19 1528
1594	gputask	1-01:34:35	COMPLETED	0	2019-10-19 1535
1595	task	18:54:09	COMPLETED	0	2019-10-19 1548
1596	gputask	23:33:51	COMPLETED	0	2019-10-19 1530
1597	task	00:00:51	COMPLETED	0	2019-10-19 1529
1598	gputask	23:40:26	COMPLETED	0	2019-10-19 1536
1599	task	00:01:08	COMPLETED	0	2019-10-19 1530
159	task	23:30:02	CANCELLED	0	2019-09-12 1351
1600	gputask	23:21:27	COMPLETED	0	2019-10-19 1540
1601	task	00:00:49	COMPLETED	0	2019-10-19 1532
1602	gputask	00:00:49	COMPLETED	0	2019-10-19 1531
1608	task	00:00:42	COMPLETED	0	2019-10-19 1533
1609	gputask	00:00:48	COMPLETED	0	2019-10-19 1532
160	gputask	23:30:02	CANCELLED	0	2019-09-12 1351
